,jp,kana,en,lesson,book
30,吉田ルート,よしだるーと,Yoshida Trail,3,quartet 1
31,山頂,さんちょう,summit,3,quartet 1
33,日の出,ひので,sunrise,3,quartet 1
34,下山,げざん,to go down a mountain,3,quartet 1
35,ご来光,ごらいこう,rising sun,3,quartet 1
36,一生,いっしょう,whole life; lifetime,3,quartet 1
37,ツアー,つあー,tour,3,quartet 1
38,参加,さんか,to participate; to join,3,quartet 1
39,安心な,あんしんな,relieving; reassuring,3,quartet 1
41,服装,ふくそう,clothes,3,quartet 1
43,限る,かぎる,to limit（ See 文型・表現 8「～とは限らない」）,3,quartet 1
44,0度,れいど,zero degrees,3,quartet 1
45,～以下,～いか,~ or less,3,quartet 1
46,ダウンジャケット,だうんじゃけっと,down jacket,3,quartet 1
47,丈夫な,じょうぶな,sturdy; tough,3,quartet 1
48,登山靴,とざんぐつ,hiking boots,3,quartet 1
49,岩,いわ,rock,3,quartet 1
51,用意,ようい,to prepare; to arrange,3,quartet 1
52,点,てん,point,3,quartet 1
53,その他に,そのほかに,other than that; in addition,3,quartet 1
54,ゴミ箱,ごみばこ,trash can,3,quartet 1
55,持ち帰る,もちかえる,to bring back,3,quartet 1
57,守る,まもる,to follow (rules),3,quartet 1
58,味わう,あじわう,to taste; to enjoy,3,quartet 1
2,感じる,かんじる,to feel,3,quartet 1
4,仲よくなる,なかよくなる,to make friends with,3,quartet 1
5,チェーン,ちぇーん,chain,3,quartet 1
6,数,かず,number,3,quartet 1
7,会社帰り,かいしゃがえり,one’s way home from work,3,quartet 1
8,サラリーマン,さらりーまん,salaried employee,3,quartet 1
10,家族連れ,かぞくづれ,family,3,quartet 1
11,様々な,さまざまな,various,3,quartet 1
12,求める,もとめる,to seek; to want,3,quartet 1
13,特徴,とくちょう,characteristic,3,quartet 1
14,魅力,みりょく,appeal; charm,3,quartet 1
16,席,せき,seat,3,quartet 1
17,席に着く,せきにつく,to have a seat,3,quartet 1
18,普通の,ふつうの,normal; ordinary,3,quartet 1
19,飲食店,いんしょくてん,restaurant,3,quartet 1
20,変わらない,かわらない,to be no different,3,quartet 1
21,えだ豆,えだまめ,edamame; boiled young soybeans,3,quartet 1
22,から揚げ,からあげ,fried chicken,3,quartet 1
23,おつまみ,おつまみ,snacks to go with alcohol,3,quartet 1
25,日本酒,にほんしゅ,Japanese rice wine; sake,3,quartet 1
26,チューハイ,ちゅーはい,shochu-based highball,3,quartet 1
27,注文,ちゅうもん,to order,3,quartet 1
28,ソフトドリンク,そふとどりんく,non-alcoholic drinks,3,quartet 1
29,安さ,やすさ,cheapness,3,quartet 1
31,さらに,さらに,additionally,3,quartet 1
32,量,りょう,quantity,3,quartet 1
33,飲み放題,のみほうだい,all you can drink,3,quartet 1
35,決まった,きまった,fixed,3,quartet 1
37,時間内,じかんない,within a time frame,3,quartet 1
38,何+counter+ も,なん+counter+ も,many ~ of,3,quartet 1
39,好きなだけ,すきなだけ,as much as one likes,3,quartet 1
40,最大の,さいだいの,the greatest,3,quartet 1
41,場,ば,place,3,quartet 1
42,たいてい,たいてい,generally; mostly,3,quartet 1
43,個室,こしつ,private room,3,quartet 1
44,サークル,さーくる,circle,3,quartet 1
45,飲み会,のみかい,drinking party,3,quartet 1
46,打ち上げ,うちあげ,"party celebrating the finish of a project, event, etc.",3,quartet 1
47,年末,ねんまつ,end of the year,3,quartet 1
48,忘年会,ぼうねんかい,year-end party,3,quartet 1
49,年始,ねんし,beginning of the year,3,quartet 1
50,新年会,しんねんかい,New Year party,3,quartet 1
52,集まり,あつまり,gathering,3,quartet 1
53,わいわい,わいわい,noisily,3,quartet 1
55,息抜き,いきぬき,breather; relaxation,3,quartet 1
56,解消,かいしょう,to relieve (stress),3,quartet 1
58,深める,ふかめる,to deepen,3,quartet 1
59,足を運ぶ,あしをはこぶ,to go to; to visit,3,quartet 1
60,独特な,どくとくな,unique; original; distinctive,3,quartet 1
61,雰囲気,ふんいき,atmosphere,3,quartet 1
3,語る,かたる,to talk,4,quartet 1
4,現在,げんざい,currently; present time,4,quartet 1
5,話し合う,はなしあう,to discuss; to talk about,4,quartet 1
6,どんどん,どんどん,rapidly; steadily,4,quartet 1
7,うまい,うまい,skillful; good at,4,quartet 1
8,自身,じしん,oneself,4,quartet 1
9,～以来,～いらい,since ~,4,quartet 1
10,日常生活,にちじょうせいかつ,daily life,4,quartet 1
11,気軽に,きがるに,freely; readily,4,quartet 1
13,言語,げんご,language,4,quartet 1
14,重要な,じゅうような,important,4,quartet 1
15,何よりも,なによりも,more than anything,4,quartet 1
16,実際に,じっさいに,actually,4,quartet 1
19,広島,ひろしま,Hiroshima,4,quartet 1
20,原爆ドーム,げんばくどーむ,Atomic Bomb Dome (Hiroshima Peace Memorial),4,quartet 1
21,意見,いけん,opinion,4,quartet 1
22,積極的に,せっきょくてきに,actively,4,quartet 1
23,行動,こうどう,to act; to move [vi.],4,quartet 1
24,深く,ふかく,deeply,4,quartet 1
25,実感,じっかん,to realize,4,quartet 1
26,メリット,めりっと,merit; advantage,4,quartet 1
27,多様な,たような,various; diverse,4,quartet 1
28,価値観,かちかん,values,4,quartet 1
29,触れる,ふれる,to touch; to encounter,4,quartet 1
31,生活様式,せいかつようしき,lifestyle,4,quartet 1
32,体験,たいけん,to experience,4,quartet 1
33,通じて,つうじて,through; via,4,quartet 1
34,自分自身,じぶんじしん,oneself,4,quartet 1
35,経験を積む,けいけんをつむ,to gain experience,4,quartet 1
36,視野を広げる,しやをひろげる,to broaden one’s perspective,4,quartet 1
37,以前,いぜん,past; previous time,4,quartet 1
39,自信がつく,じしんがつく,to gain confidence in,4,quartet 1
42,十分な,じゅうぶんな,enough; sufficient,4,quartet 1
43,母語,ぼご,mother tongue,4,quartet 1
44,非常に,ひじょうに,very; greatly; extremely,4,quartet 1
45,残念な,ざんねんな,unfortunate; disappointing,4,quartet 1
46,自然に,しぜんに,naturally; effortlessly,4,quartet 1
47,正しい,ただしい,correct; true,4,quartet 1
48,むだにする,むだにする,to waste [vt.],4,quartet 1
49,確かに,たしかに,certainly; indeed,4,quartet 1
50,なかなか～ない,なかなか～ない,cannot easily ~,4,quartet 1
51,ついていく,ついていく,to keep up with,4,quartet 1
53,時には,ときには,sometimes,4,quartet 1
55,時間を過ごす,じかんをすごす,to spend time,4,quartet 1
57,ホームシックになる,ほーむしっくになる,to get homesick,4,quartet 1
58,済む,すむ,to finish; to end [vi.]（See 文型・表現6「～ないで済む／～ずに済む」）,4,quartet 1
62,～先,～さき,one’s destination,4,quartet 1
63,単位,たんい,credit,4,quartet 1
64,事前に,じぜんに,in advance,4,quartet 1
65,時期,じき,time; period,4,quartet 1
66,就職活動,しゅうしょくかつどう,job hunting,4,quartet 1
67,重なる,かさなる,to overlap [vi.],4,quartet 1
68,交換,こうかん,to exchange,4,quartet 1
69,対象,たいしょう,target,4,quartet 1
70,本格的に,ほんかくてきに,on a full scale; in full swing,4,quartet 1
71,海外,かいがい,overseas,4,quartet 1
72,企業,きぎょう,company,4,quartet 1
73,在学,ざいがく,to be in school,4,quartet 1
74,優先的に,ゆうせんてきに,preferentially,4,quartet 1
75,採用,さいよう,to hire; to employ,4,quartet 1
77,帰国,きこく,to return to one’s country,4,quartet 1
2,あこがれる,あこがれる,to long for,4,quartet 1
4,初日,しょにち,first day,4,quartet 1
6,おじぎ,おじぎ,bow,4,quartet 1
7,かしこまりました,かしこまりました,Certainly.,4,quartet 1
8,あいさつ,あいさつ,greetings,4,quartet 1
9,きちんと,きちんと,neatly; accurately,4,quartet 1
10,社員,しゃいん,employee of a company,4,quartet 1
11,代表,だいひょう,to represent,4,quartet 1
12,接する,せっする,to attend to,4,quartet 1
13,どうりで,どうりで,no wonder,4,quartet 1
14,礼儀正しい,れいぎただしい,polite,4,quartet 1
15,内容,ないよう,description; content,4,quartet 1
16,ホール,ほーる,hall,4,quartet 1
18,ホールに出す,ほーるにだす,to let someone serve customers,4,quartet 1
19,楽な,らくな,easy,4,quartet 1
20,苦労,くろう,to have trouble; to have a hard time,4,quartet 1
21,様子,ようす,condition,4,quartet 1
22,対応,たいおう,to serve; to respond,4,quartet 1
24,残る,のこる,to remain; to be left [vi.],4,quartet 1
25,片づけ,かたづけ,cleaning up,4,quartet 1
26,決まり,きまり,agreement; rule,4,quartet 1
27,一流の,いちりゅうの,first-class; top-ranking,4,quartet 1
28,勤勉さ,きんべんさ,diligence,4,quartet 1
29,熱心に,ねっしんに,enthusiastically,4,quartet 1
30,驚く,おどろく,to get surprised,4,quartet 1
31,暇な,ひまな,not busy,4,quartet 1
32,おしゃべり,おしゃべり,chatter,4,quartet 1
33,教育,きょういく,to educate; to train (employee),4,quartet 1
34,プロ意識,ぷろいしき,professionalism,4,quartet 1
35,意識,いしき,to be concious of; to be aware of,4,quartet 1
36,～を通して,～をとおして,through ~,4,quartet 1
37,一面,いちめん,one side; an aspect,4,quartet 1
38,期待,きたい,to expect,4,quartet 1
39,有意義な,ゆういぎな,significant; meaningful,4,quartet 1
2,回転ずし,かいてんずし,sushi-go-round,5,quartet 1
3,入門,にゅうもん,introduction,5,quartet 1
4,高級な,こうきゅうな,expensive; high-class,5,quartet 1
5,変える,かえる,to change (something) [vt.],5,quartet 1
6,ネタ,ねた,ingredient (for sushi),5,quartet 1
7,新鮮な,しんせんな,fresh,5,quartet 1
8,看板,かんばん,signboard,5,quartet 1
9,つい,つい,unintentionally; automatically,5,quartet 1
10,回る,まわる,to turn around; to go around [vi.],5,quartet 1
11,ベルトコンベア,べるとこんべあ,belt conveyor,5,quartet 1
12,目に入る,めにはいる,to come into view [vi.],5,quartet 1
13,次々と,つぎつぎと,continuously; one after another,5,quartet 1
14,豊富な,ほうふな,abundant,5,quartet 1
15,～限定,～げんてい,limited; ~ only,5,quartet 1
16,洋風,ようふう,Western style,5,quartet 1
17,変わった,かわった,different; unusual,5,quartet 1
19,サイドメニュー,さいどめにゅー,side menu,5,quartet 1
20,増える,ふえる,to increase [vi.],5,quartet 1
21,通常,つうじょう,usually; normally,5,quartet 1
22,～ごとに,～ごとに,every ~,5,quartet 1
23,時間帯,じかんたい,period of time (in a day),5,quartet 1
24,行列,ぎょうれつ,line; queue,5,quartet 1
26,人数,にんずう,number of people,5,quartet 1
27,タッチパネル,たっちぱねる,touchscreen,5,quartet 1
28,入力,にゅうりょく,to enter,5,quartet 1
29,カウンター席,かうんたーせき,counter seat,5,quartet 1
30,ボックス席,ぼっくすせき,booth,5,quartet 1
31,空く,あく,to become available; to become vacant [vi.],5,quartet 1
32,順番に,じゅんばんに,in order,5,quartet 1
34,湯のみ,ゆのみ,Japanese teacup,5,quartet 1
35,粉末,ふんまつ,powder,5,quartet 1
36,ティーバッグ,てぃーばっぐ,tea bag,5,quartet 1
37,付く,つく,to be attached to; to be connected to [vi.],5,quartet 1
38,ノズル,のずる,nozzle; faucet,5,quartet 1
40,注ぐ,そそぐ,to pour; to fill one’s cup,5,quartet 1
42,しょうゆ,しょうゆ,soy sauce,5,quartet 1
43,わさび,わさび,wasabi,5,quartet 1
44,お口直し,おくちなおし,palate cleanser,5,quartet 1
45,ガリ,がり,pickled ginger,5,quartet 1
46,酢漬け,すづけ,pickles,5,quartet 1
47,しょうが,しょうが,ginger,5,quartet 1
48,便利な,べんりな,convenient,5,quartet 1
49,画面,がめん,screen,5,quartet 1
50,にぎり,にぎり,hand-pressed sushi,5,quartet 1
51,巻物,まきもの,sushi roll,5,quartet 1
52,おすすめ,おすすめ,recommendation,5,quartet 1
53,詳しい,くわしい,detailed,5,quartet 1
54,表示,ひょうじ,to show; to display,5,quartet 1
55,繰り返す,くりかえす,to repeat,5,quartet 1
56,しばらくすると,しばらくすると,after a little while,5,quartet 1
57,注文品,ちゅうもんひん,ordered thing,5,quartet 1
58,のる,のる,to be put on [vi.],5,quartet 1
59,流れる,ながれる,to flow,5,quartet 1
60,流れてくる,ながれてくる,to come down (revolving conveyor belt carries plates of sushi to),5,quartet 1
61,一味違う,ひとあじちがう,to be somewhat different,5,quartet 1
62,本場,ほんば,the home; the best place,5,quartet 1
2,肉じゃが,にくじゃが,"nikujaga (simmered meat, potatoes and onions)",5,quartet 1
3,家庭,かてい,home; family,5,quartet 1
4,家庭料理,かていりょうり,home cooking,5,quartet 1
5,定番,ていばん,standard,5,quartet 1
6,甘辛い,あまからい,sweet and salty,5,quartet 1
7,材料,ざいりょう,ingredients; materials,5,quartet 1
8,～分,～ぶん,for ~ people,5,quartet 1
9,じゃがいも,じゃがいも,potato,5,quartet 1
10,だし,だし,soup; stock,5,quartet 1
11,にんじん,にんじん,carrot,5,quartet 1
12,大さじ,おおさじ,tablespoon (15 cc),5,quartet 1
13,玉ねぎ,たまねぎ,onion,5,quartet 1
16,薄切り,うすぎり,thin slice,5,quartet 1
17,みりん,みりん,sweet rice wine for cooking,5,quartet 1
18,サラダ油,さらだゆ／さらだあぶら,salad oil,5,quartet 1
19,皮,かわ,skin; coat,5,quartet 1
20,むく,むく,to peel [vt.],5,quartet 1
22,縦に,たてに,vertically,5,quartet 1
23,半分,はんぶん,half,5,quartet 1
24,幅,はば,width,5,quartet 1
25,薄く,うすく,thinly,5,quartet 1
26,スライス,すらいす,to slice,5,quartet 1
27,なべ,なべ,pot,5,quartet 1
28,熱する,ねっする,to heat up,5,quartet 1
29,いためる,いためる,to (stir-)fry,5,quartet 1
30,加える,くわえる,to add [vt.],5,quartet 1
31,軽く,かるく,lightly,5,quartet 1
32,中火,ちゅうび,medium heat,5,quartet 1
33,煮る,にる,to boil; to simmer [vt.],5,quartet 1
34,表面,ひょうめん,surface,5,quartet 1
35,アク,あく,scum,5,quartet 1
36,弱火,よわび,low heat,5,quartet 1
37,こげる,こげる,to get burned [vi.],5,quartet 1
38,様子を見る,ようすをみる,to watch; to see how it goes,5,quartet 1
39,火,ひ,flame; fire,5,quartet 1
40,調整,ちょうせい,to adjust,5,quartet 1
41,完成,かんせい,to complete,5,quartet 1
42,かつお節,かつおぶし,shaved dried bonito,5,quartet 1
43,こんぶ,こんぶ,kelp,5,quartet 1
44,煮出す,にだす,to extract the flavor of ~ by boiling,5,quartet 1
45,汁,しる,soup; juice,5,quartet 1
46,うまみ,うまみ,umami; savoriness,5,quartet 1
47,溶かす,とかす,to melt; to dissolve,5,quartet 1
48,余る,あまる,to remain,5,quartet 1
49,和風,わふう,Japanese style,5,quartet 1
50,カレールー,かれーるー,curry roux,5,quartet 1
51,煮込む,にこむ,to simmer; to stew,5,quartet 1
2,投書,とうしょ,to write to a newspaper,6,quartet 1
3,包装,ほうそう,to package; to wrap,6,quartet 1
4,愛知県,あいちけん,Aichi Prefecture,6,quartet 1
5,来日,らいにち,to come to Japan,6,quartet 1
6,ペットボトル,ぺっとぼとる,plastic bottle,6,quartet 1
8,リサイクル,りさいくる,to recycle,6,quartet 1
9,資源,しげん,resource,6,quartet 1
10,資源ゴミ,しげんごみ,recyclable waste,6,quartet 1
11,燃える,もえる,to burn [vi.],6,quartet 1
12,燃えるゴミ,もえるごみ,burnable waste,6,quartet 1
13,分かれる,わかれる,to get separated [vi.],6,quartet 1
14,分別,ぶんべつ,to separate; to sort,6,quartet 1
15,気になる,きになる,to be on one’s mind; to worry,6,quartet 1
16,過剰な,かじょうな,excessive,6,quartet 1
17,箱,はこ,box,6,quartet 1
18,クッキー,くっきー,cookie,6,quartet 1
20,～ずつ,～ずつ,"each ~ (e.g., 一つずつ one by one)",6,quartet 1
21,ビニール,びにーる,plastic; vinyl,6,quartet 1
22,確実に,かくじつに,definitely; certainly,6,quartet 1
23,包装紙,ほうそうし,wrapping paper,6,quartet 1
24,結局,けっきょく,after all; eventually,6,quartet 1
25,商品,しょうひん,merchandise; product,6,quartet 1
27,疑問,ぎもん,doubt; question,6,quartet 1
28,ぬれる,ぬれる,to get wet [vi.],6,quartet 1
29,紙袋,かみぶくろ,paper bag,6,quartet 1
30,丁寧に,ていねいに,carefully; politely,6,quartet 1
32,～に対する,～にたいする,to; toward; for; concerning,6,quartet 1
33,気づかい,きづかい,concern; consideration,6,quartet 1
34,やりすぎ,やりすぎ,overkill; overdone,6,quartet 1
35,考え直す,かんがえなおす,to reconsider,6,quartet 1
2,早期,そうき,early,6,quartet 1
3,賛成,さんせい,to approve; to agree,6,quartet 1
4,反対,はんたい,to oppose; to disagree,6,quartet 1
6,制度,せいど,system,6,quartet 1
7,すでに,すでに,already,6,quartet 1
8,全国的に,ぜんこくてきに,nationwide,6,quartet 1
9,今後,こんご,from now; hereafter,6,quartet 1
10,～化,～か,change to ~; ~ization,6,quartet 1
11,進む,すすむ,to proceed; to advance [vi.],6,quartet 1
12,関心,かんしん,interest,6,quartet 1
13,ますます,ますます,more and more,6,quartet 1
14,現状,げんじょう,current state,6,quartet 1
15,第一に,だいいちに,first,6,quartet 1
16,習得,しゅうとく,to acquire,6,quartet 1
17,年齢,ねんれい,age,6,quartet 1
18,超える,こえる,to exceed; to be over,6,quartet 1
19,関係,かんけい,relation; connection,6,quartet 1
20,関係がある,かんけいがある,to be related,6,quartet 1
21,スポンジ,すぽんじ,sponge,6,quartet 1
22,吸収,きゅうしゅう,to absorb,6,quartet 1
24,効果的な,こうかてきな,effective,6,quartet 1
25,抵抗感,ていこうかん,reluctance; resistance,6,quartet 1
27,一般的に,いっぱんてきに,basically; generally,6,quartet 1
28,周り,まわり,surroundings; surrounding people,6,quartet 1
29,失敗,しっぱい,to fail,6,quartet 1
30,恐れる,おそれる,to be afraid of; to fear,6,quartet 1
31,国際感覚,こくさいかんかく,cosmopolitan outlook,6,quartet 1
32,身につける,みにつける,to learn; to acquire,6,quartet 1
33,自国,じこく,one’s home country,6,quartet 1
34,受け入れる,うけいれる,to accept,6,quartet 1
35,活躍,かつやく,to play an active part,6,quartet 1
36,可能性,かのうせい,possibility,6,quartet 1
37,広がる,ひろがる,to spread; to open [vi.],6,quartet 1
38,述べる,のべる,to state; to express,6,quartet 1
39,発達,はったつ,to develop,6,quartet 1
40,影響,えいきょう,to influence; to affect,6,quartet 1
41,不十分な,ふじゅうぶんな,deficient,6,quartet 1
42,どちらも,どちらも,both,6,quartet 1
43,表現,ひょうげん,to express,6,quartet 1
44,混乱,こんらん,to get confused,6,quartet 1
46,論理的に,ろんりてきに,logically,6,quartet 1
47,意思,いし,will; volition,6,quartet 1
49,いやいや,いやいや,unwillingly,6,quartet 1
50,無理に,むりに,forcedly; by constraint,6,quartet 1
51,英語嫌いな,えいごぎらいな,English-averse,6,quartet 1
52,ふだん,ふだん,usually,6,quartet 1
54,本気で,ほんきで,seriously,6,quartet 1
55,上達,じょうたつ,to improve [vi.],6,quartet 1
56,主張,しゅちょう,to insist; to claim,6,quartet 1
2,壁,かべ,wall; barrier,7,quartet 2
3,厚さ,あつさ,thickness,7,quartet 2
5,詰まる,つまる,to fill [vi.],7,quartet 2
6,濃い,こい,thick; dense; strong,7,quartet 2
7,選択肢,せんたくし,choice,7,quartet 2
8,オリエンテーション,おりえんてーしょん,orientation,7,quartet 2
9,～近く,～ちかく,nearly ~,7,quartet 2
10,合間,あいま,interval,7,quartet 2
11,余裕,よゆう,room; (emotional) leeway,7,quartet 2
12,～の半面,～のはんめん,in contrast to ~; on the other side of ~,7,quartet 2
13,まったく～ない,まったく～ない,not at all,7,quartet 2
14,差,さ,difference,7,quartet 2
16,翌週,よくしゅう,next week,7,quartet 2
17,学部,がくぶ,department of a university,7,quartet 2
18,中東,ちゅうとう,Middle East,7,quartet 2
19,多国籍な,たこくせきな,multinational,7,quartet 2
20,何かしら,なにかしら,certain; some kind of,7,quartet 2
21,刺激,しげき,to stimulate; to motivate,7,quartet 2
22,試練,しれん,trial; test,7,quartet 2
23,変化,へんか,to change [vi.],7,quartet 2
24,新たな,あらたな,new,7,quartet 2
25,与える,あたえる,to give; to provide [vt.],7,quartet 2
26,～なんて,～なんて,such as ~; like ~,7,quartet 2
27,目まぐるしい,めまぐるしい,dizzy; hectic,7,quartet 2
28,軌道に乗る,きどうにのる,to be on track,7,quartet 2
29,逆に,ぎゃくに,on the contrary; conversely,7,quartet 2
30,肩を組む,かたをくむ,to put one’s arm around someone’s shoulders,7,quartet 2
31,組む,くむ,to cross,7,quartet 2
32,叩く,たたく,to pat; to tap,7,quartet 2
33,ボディータッチ,ぼでぃーたっち,touching,7,quartet 2
34,～に対して,～にたいして,against ~; toward ~,7,quartet 2
35,不快な,ふかいな,unpleasant,7,quartet 2
36,思い切って,おもいきって,to take the plunge and do,7,quartet 2
37,互い,たがい,each other,7,quartet 2
38,理解し合う,りかいしあう,to understand each other,7,quartet 2
39,やりとり,やりとり,exchange,7,quartet 2
42,実現,じつげん,to become reality,7,quartet 2
43,破る,やぶる,to break [vt.],7,quartet 2
44,ただ,ただ,just,7,quartet 2
45,単に,たんに,simply,7,quartet 2
46,意味合い,いみあい,meaning,7,quartet 2
47,イライラする,いらいらする,to get annoyed,7,quartet 2
48,時点,じてん,point in time,7,quartet 2
49,約束を交わす,やくそくをかわす,to make a promise,7,quartet 2
50,膨らむ,ふくらむ,to expand; to swell [vi.],7,quartet 2
51,正直,しょうじき,honestly,7,quartet 2
52,放つ,はなつ,to release,7,quartet 2
53,強弱,きょうじゃく,strength,7,quartet 2
54,責任感,せきにんかん,sense of responsibility,7,quartet 2
55,根本,こんぽん,root; foundation,7,quartet 2
56,島国,しまぐに,island country,7,quartet 2
57,独自,どくじ,original; unique,7,quartet 2
58,発展,はってん,to develop [vi.],7,quartet 2
59,基準,きじゅん,standard,7,quartet 2
60,似る,にる,to resemble,7,quartet 2
61,知らぬ間に,しらぬまに,unconsciously; without noticing,7,quartet 2
63,飛びだす,とびだす,to jump out,7,quartet 2
64,うち,うち,inside,7,quartet 2
2,親しむ,したしむ,to be intimate,7,quartet 2
4,口にする,くちにする,to speak of,7,quartet 2
5,苦笑い,にがわらい,to smile bitterly,7,quartet 2
6,一言,ひとこと,a word,7,quartet 2
7,彼ら,かれら,they,7,quartet 2
8,～ら,～ら,(a plural word or form),7,quartet 2
9,不満,ふまん,dissatisfaction,7,quartet 2
10,反映,はんえい,to reflect,7,quartet 2
11,在日,ざいにち,resident in Japan,7,quartet 2
12,孤独感,こどくかん,loneliness,7,quartet 2
13,興味深い,きょうみぶかい,interesting,7,quartet 2
14,耳にする,みみにする,to hear,7,quartet 2
15,相談にのる,そうだんにのる,to give advice,7,quartet 2
16,社交,しゃこう,social,7,quartet 2
17,真っ最中,まっさいちゅう,in the middle,7,quartet 2
18,これら,これら,these,7,quartet 2
19,連絡先,れんらくさき,contact information,7,quartet 2
21,仲間,なかま,friend; fellow,7,quartet 2
22,いろんな,いろんな,various,7,quartet 2
24,共有,きょうゆう,to share,7,quartet 2
25,だが,だが,however,7,quartet 2
26,没頭,ぼっとう,to lose oneself in,7,quartet 2
27,つぶやき,つぶやき,tweet,7,quartet 2
28,後を絶たない,あとをたたない,endless,7,quartet 2
29,出会い,であい,encounter; meeting,7,quartet 2
30,そもそも,そもそも,in the first place,7,quartet 2
31,積極性,せっきょくせい,willingness,7,quartet 2
32,現実,げんじつ,reality,7,quartet 2
33,ギャップ,ぎゃっぷ,gap,7,quartet 2
34,コミュニティー,こみゅにてぃー,community,7,quartet 2
35,脱出,だっしゅつ,to escape,7,quartet 2
36,接触,せっしょく,to contact,7,quartet 2
37,熱意,ねつい,enthusiasm,7,quartet 2
39,建前,たてまえ,public stance,7,quartet 2
40,～的,～てき,-ish; -tic,7,quartet 2
41,ポジティブな,ぽじてぃぶな,positive,7,quartet 2
42,反応,はんのう,to react,7,quartet 2
43,攻め,せめ,attack,7,quartet 2
44,さわやかに,さわやかに,breezy,7,quartet 2
45,回答,かいとう,to answer,7,quartet 2
46,フォロー,ふぉろー,to follow up,7,quartet 2
47,素早く,すばやく,quickly,7,quartet 2
48,応える,こたえる,to answer,7,quartet 2
49,望む,のぞむ,to wish; to desire,7,quartet 2
50,オープンな,おーぷんな,open hearted,7,quartet 2
51,珍しく,めずらしく,unusually,7,quartet 2
52,感心,かんしん,to admire,7,quartet 2
54,早速,さっそく,immediately,7,quartet 2
55,示す,しめす,to show,7,quartet 2
56,礼儀,れいぎ,courtesy,7,quartet 2
57,長期,ちょうき,long term,7,quartet 2
58,返信,へんしん,to reply,7,quartet 2
59,友情,ゆうじょう,friendship,7,quartet 2
60,裏切る,うらぎる,to betray,7,quartet 2
61,怒り,いかり,anger,7,quartet 2
62,失望,しつぼう,to be disappointed,7,quartet 2
63,増す,ます,to increase [vi.],7,quartet 2
64,期待外れ,きたいはずれ,disappointment,7,quartet 2
65,冒頭,ぼうとう,beginning,7,quartet 2
66,状況,じょうきょう,situation,7,quartet 2
67,各～,かく～,each ~,7,quartet 2
68,自治体,じちたい,local government,7,quartet 2
69,政策,せいさく,political measures,7,quartet 2
70,～によって,～によって,by ~,7,quartet 2
71,国際性,こくさいせい,internationality,7,quartet 2
72,努力,どりょく,to make efforts,7,quartet 2
73,マインド,まいんど,mind; way of thinking,7,quartet 2
74,徐々に,じょじょに,gradually,7,quartet 2
75,なじむ,なじむ,to be familiar,7,quartet 2
76,築く,きずく,to build,7,quartet 2
77,課題,かだい,task; subject,7,quartet 2
3,加賀屋,かがや,Kagaya,8,quartet 2
4,女将,おかみ,proprietress,8,quartet 2
5,100選,ひゃくせん,a selection of 100 (hotels),8,quartet 2
6,総合,そうごう,overall,8,quartet 2
7,一位,いちい,the first place,8,quartet 2
8,おもてなし,おもてなし,hospitality; service,8,quartet 2
9,到着,とうちゃく,to arrive,8,quartet 2
10,お迎え,おむかえ,welcoming,8,quartet 2
11,館内,かんない,inside of the building,8,quartet 2
13,線,せん,line,8,quartet 2
14,浴衣,ゆかた,yukata; informal cotton kimono,8,quartet 2
15,後ほど,のちほど,later,8,quartet 2
16,頭に入れる,あたまにいれる,to keep something in mind,8,quartet 2
17,おしぼり,おしぼり,small wet towel,8,quartet 2
18,抹茶,まっちゃ,powdered green tea,8,quartet 2
19,少なくとも,すくなくとも,at least,8,quartet 2
20,出入り,でいり,to go in and out,8,quartet 2
21,状態,じょうたい,condition,8,quartet 2
23,心がける,こころがける,to be careful to do something,8,quartet 2
24,上げ膳据え膳,あげぜんすえぜん,taking care of everything (about meals),8,quartet 2
25,至れり尽くせり,いたれりつくせり,(service is) perfect; leaving nothing to be desired,8,quartet 2
26,非日常,ひにちじょう,unusual,8,quartet 2
27,都会,とかい,city; town,8,quartet 2
28,癒やす,いやす,to heal; to cure,8,quartet 2
29,くつろぐ,くつろぐ,to relax; to make oneself at home,8,quartet 2
30,宿,やど,inn,8,quartet 2
31,精神,せいしん,spirit; mind,8,quartet 2
32,十人十色,じゅうにんといろ,different strokes for different folks,8,quartet 2
33,要望,ようぼう,to request; to demand,8,quartet 2
34,基本,きほん,basis; foundation,8,quartet 2
35,常に,つねに,always,8,quartet 2
36,先回り,さきまわり,to anticipate,8,quartet 2
37,提供,ていきょう,to provide [vt.],8,quartet 2
38,策を練る,さくをねる,to come up with ideas,8,quartet 2
39,喜ぶ,よろこぶ,to be pleased; to be glad,8,quartet 2
40,喜び,よろこび,pleasure; joy,8,quartet 2
41,真,しん,truth,8,quartet 2
42,先代,せんだい,predecessor,8,quartet 2
43,満足,まんぞく,to satisfy,8,quartet 2
44,満足のいく～,まんぞくのいく,satisfying ~,8,quartet 2
45,近年,きんねん,in recent years,8,quartet 2
46,国花,こっか,national flower,8,quartet 2
47,王室,おうしつ,royal family,8,quartet 2
48,すずらん,すずらん,lily of the valley,8,quartet 2
49,花束,はなたば,bouquet,8,quartet 2
50,洗面所,せんめんじょ,lavatory; washroom,8,quartet 2
51,枕,まくら,pillow,8,quartet 2
52,感激,かんげき,to be deeply moved,8,quartet 2
53,満点,まんてん,full marks,8,quartet 2
54,形,かたち,way; method,8,quartet 2
