散歩する,さんぽする,to take a walk ,会L9
詩,し,poem,読L17-II
字,じ,letter; character,会L20
～時,～じ,o’clock,会L1
試合,しあい,match; game,会L12
幸せ,しあわせ（な）,happy (lasting happiness),"読L10-II, 会L13"
,ジーンズ,jeans,会L2
,シェフ,chef,"読L6-III, 会L11"
鹿,しか,deer,読L15-II
歯科,しか,dentist,会L12(e)
,しかし,however,読L17-II
,しかたがない,cannot be helped,読L22-II
四月,しがつ,April,会L4(e)
時間,じかん,time,会L10
～時間,～じかん,. . . hours,会L4
時間通り,じかんどおり,on time,読L13-III
試験,しけん,exam,会L9
仕事,しごと,job; work; occupation,会L8
辞書,じしょ,dictionary,"会L2(e), 会L15"
地震,じしん,earthquake,会L15
静か,しずか（な）,quiet,会L5
自然,しぜん,nature,読L15-II
,じぞう,guardian deity of children,読L10-II
下,した,under,会L4
時代,じだい,age; era,読L14-II
親しい,したしい,close; intimate,読L18-III
七月,しちがつ,July,会L4(e)
七時,しちじ,seven o’clock,会L1(e)
知っています,しっています,I know,会L7
実は,じつは,actually; in fact,会L16
失敗する,しっぱいする,to fail; to be unsuccessful ,会L22
十分,じっぷん,ten minutes,会L1(e)
質問,しつもん,question,"会L11(e), 読L19-III"
失礼しました,しつれいしました,I’m very sorry.,会L20
失礼します,しつれいします,Excuse me.; Sorry to interrupt you.,会L16
指定席,していせき,reserved seat,会L10(e)
支店,してん,branch office,会L20
自転車,じてんしゃ,bicycle,会L2
自動,じどう,automatic,読L13-III
死ぬ,しぬ,to die,会L6
次発,じはつ,departing second,会L10(e)
耳鼻科,じびか,otorhinolaryngologist; ENT doctor,会L12(e)
自分,じぶん,oneself,"読L10-II, 会L17"
自分で,じぶんで,(do something) by oneself,会L16
島,しま,island,読L15-II
閉まる,しまる,(something) closes,会L18
締め切り,しめきり,deadline,"会L11(e), 会L15"
閉める,しめる,to close (something) ,会L6
,じゃあ,"then . . . ; if that is the case, . . .",会L2
,ジャーナリスト,journalist,会L11
社会,しゃかい,society,会L23
,じゃがいも,potato,会L8(e)
,ジャケット,jacket,会L15
写真,しゃしん,picture; photograph,会L4
社長,しゃちょう,president of a company,会L11
,シャツ,shirt,会L14
,しゃべる,to chat,会L15
,シャワー,shower,会L6
シャワーを浴びる,シャワーをあびる,to take a shower ,会L6
,シャンプー,shampoo,"会L17(e), 会L18"
自由,じゆう,freedom,会L22
十一月,じゅういちがつ,November,会L4(e)
十一時,じゅういちじ,eleven o’clock,会L1(e)
十一日,じゅういちにち,the eleventh day of a month,会L4(e)
十一分,じゅういっぷん,eleven minutes,会L1(e)
十月,じゅうがつ,October,会L4(e)
習慣,しゅうかん,custom,会L15
～週間,～しゅうかん,for . . . weeks,会L10
十九分,じゅうきゅうふん,nineteen minutes,会L1(e)
十五分,じゅうごふん,fifteen minutes,会L1(e)
十三分,じゅうさんぷん,thirteen minutes,会L1(e)
十時,じゅうじ,ten o’clock,会L1(e)
就職する,しゅうしょくする,to get a full-time job (at . . . ) ,会L17
,ジュース,juice,会L12
自由席,じゆうせき,general admission seat,会L10(e)
銃で撃たれる,じゅうでうたれる,to be shot,読L17-II
終電,しゅうでん,last train (of the day),"会L10(e), 会L21"
十七分,じゅうななふん,seventeen minutes,会L1(e)
自由に,じゆうに,freely,会L22
十二月,じゅうにがつ,December,会L4(e)
十二時,じゅうにじ,twelve o’clock,会L1(e)
十二分,じゅうにふん,twelve minutes,会L1(e)
収入,しゅうにゅう,income,読L18-II
十八分,じゅうはちふん/じゅうはっぷん,eighteen minutes,会L1(e)
週末,しゅうまつ,weekend,会L3
十四日,じゅうよっか,the fourteenth day of a month,会L4(e)
十四分,じゅうよんぷん,fourteen minutes,会L1(e)
十六分,じゅうろっぷん,sixteen minutes,会L1(e)
授業,じゅぎょう,class,会L11
授業中に,じゅぎょうちゅうに,in class; during the class,会L16
授業料,じゅぎょうりょう,tuition,会L21
塾,じゅく,cram school,"読L7-II, 会L22"
宿題,しゅくだい,homework,会L5
手術,しゅじゅつ,operation,会L12(e)
首相,しゅしょう,prime minister,会L17
主人,しゅじん,head of a familiy,読L15-II
出身,しゅっしん,coming from,会L11
出張,しゅっちょう,business trip,"読L14-II, 会L19"
十分,じゅっぷん,ten minutes,会L1(e)
主婦,しゅふ,housewife,会L1
主夫,しゅふ,house husband,読L17-II
趣味,しゅみ,hobby; pastime,会L20
種類,しゅるい,a kind; a sort,会L19
準備,じゅんび,preparation,会L17
紹介する,しょうかいする,to introduce ,会L11
奨学金,しょうがくきん,scholarship,会L16
小学生,しょうがくせい,elementary school students,読L16-II
正月,しょうがつ,New Year’s,"読L10-II, 会L11"
小学校,しょうがっこう,elementary school,会L23
,しょうぎ,Japanese chess,読L19-II
乗車券,じょうしゃけん,(boarding) ticket,会L10(e)
少々,しょうしょう,a few seconds,会L19
上手,じょうず（な）,skillful; good at . . .,会L8
小説,しょうせつ,novel,会L20
招待する,しょうたいする,to invite someone (to an event/a place) ,会L19
消防士,しょうぼうし,firefighter,会L11
しょう油,しょうゆ,soy sauce,会L18
将来,しょうらい,future,会L11
食後,しょくご,after meals,会L12(e)
食事,しょくじ,meal,読L21-II
食堂,しょくどう,cafeteria; dining commons,会L7
食費,しょくひ,cost of food,読L18-III
女子学生,じょしがくせい,female student,読L18-II
,ショッピングモール,shopping mall,会L17
書類,しょるい,document,会L22
調べる,しらべる,to look into (a matter) ,会L15
尻,しり,buttocks,会L7(e)
知り合う,しりあう,to get acquainted with,会L19
知りません,しりません,I do not know,会L7
知る,しる,to get to know,会L7
,シルバー,silver,会L9(e)
城,しろ,castle,読L5-II
白い,しろい,white,"会L9, 会L9(e)"
白黒,しろくろ,black and white,会L9(e)
～人,～じん,. . . people,会L1
新幹線,しんかんせん,Shinkansen;  “Bullet Train”,会L10
,シングル,single room,会L15(e)
信号,しんごう,traffic light,"会L6(e), 会L20"
神社,じんじゃ,shrine,会L11
信じる,しんじる,to believe ,会L21
親せき,しんせき,relatives,会L16
親切,しんせつ（な）,kind,会L7
心配,しんぱい（な）,worried about,"読L21-II, 会L22"
心配する,しんぱいする,to worry ,会L12
新聞,しんぶん,newspaper,会L2
親友,しんゆう,best friend,読L22-II
,すいか,watermelon,会L8(e)
推薦状,すいせんじょう,letter of recommendation,会L16
,スイッチ,switch,会L18
,ずいぶん,very,会L17
水曜日,すいようび,Wednesday,"会L4, 会L4(e)"
,スーパー,supermarket,会L4
,スープ,soup,会L18
,スカート,skirt,会L18
好き,すき（な）,fond of; to like,会L5
,スキー,ski,会L9
,すく,thin out (hair),会L17(e)
,すぐ,right away,会L6
少ない,すくない,a little; a few,会L17
スクランブル交差点,スクランブルこうさてん,scramble crossing,読L15-II
,すごい,incredible; awesome,会L13
,すごく,extremely,会L5
少し,すこし,a little,"読L7-II, 会L21"
,すし,sushi,会L10
涼しい,すずしい,cool (weather),会L10
,ずっと,for a long time; all the time,会L22
,すっぽん,snapping turtle; terrapin,読L13-II
素敵,すてき（な）,nice,会L12
捨てる,すてる,to throw away ,会L8
,ストレス,stress,読L8-II
,スニーカー,sneakers,会L20
,スピーチ,speech,会L21
,スプーン,spoon,会L17
,スペイン,Spain,会L8
,スポーツ,sports,会L3
スポーツ選手,スポーツせんしゅ,athlete,会L11
,スマホ,smartphone; mobile,会L2
,すみません,Excuse me.;  I’m sorry.,会G
住む,すむ,to live,会L7
,する,to cost ,読L20-II
,する,to decide on (an item) ,会L15
,する,to do ,会L3
,する,"to wear small items (necktie, watch, etc.) ",会L17
,すると,. . . Then . . .,読L16-II
座る,すわる,to sit down,会L6
性格,せいかく,personality,会L19
生活,せいかつ,life; living,会L10
生活する,せいかつする,to lead a life ,会L20
生活のゆとり,せいかつのゆとり,extra money to spare for the cost of living,読L18-II
生活費,せいかつひ,the cost of living,読L18-II
税金,ぜいきん,tax,会L15
整形外科,せいけいげか,orthopedic surgeon,会L12(e)
政治,せいじ,politics,"会L1, 会L12"
成績,せいせき,"grade (on a test, etc.)",会L12
,ぜいたくをする,to indulge in luxury ,読L21-II
政府,せいふ,government,会L21
生物学,せいぶつがく,biology,会L1
生理,せいり,period,会L12(e)
,セーター,sweater,会L13
世界,せかい,world,会L10
世界中,せかいじゅう,all over the world,読L23-II
背が高い,せがたかい,tall (stature),会L7
背が低い,せがひくい,short (stature),会L7
,せき,cough,会L12
せきが出る,せきがでる,to cough ,会L12
絶対に,ぜったいに,definitely; no matter what,"読L20-II, 会L22"
,セット,set,会L17(e)
説明する,せつめいする,to explain ,会L16
背中,せなか,back (body),会L7(e)
是非,ぜひ,by all means,会L9
狭い,せまい,narrow; not spacious,会L12
世話をする,せわをする,to take care of . . . ,会L23
1960年代,せんきゅうひゃくろくじゅうねんだい,1960’s,読L17-II
先月,せんげつ,last month,"会L4(e), 会L9"
専攻,せんこう,major,会L1
先週,せんしゅう,last week,"会L4, 会L4(e)"
扇子,せんす,(hand) fan,会L20
先生,せんせい,teacher; Professor . . .,会L1
全然,ぜんぜん ＋ negative,not at all,会L3
洗濯する,せんたくする,to do laundry ,会L8
先輩,せんぱい,senior member of a group,"読L14-II, 会L22"
先発,せんぱつ,departing first,会L10(e)
全部,ぜんぶ,all,会L13
,そう,(I think) so,会L9
象,ぞう,elephant,会L13
,そうか,I see. (casual),会L17
掃除する,そうじする,to clean ,会L8
,そうそう,You are right.,会L23
,そうだ！,I have an idea!,読L20-II
相談する,そうだんする,to consult ,会L14
,そうです,That’s right.,会L1
,そうですか,I see.; Is that so?,会L1
,そうですね,That’s right.; Let me see.,会L3
,そこ,there,会L2
,そして,and then,"読L9-II, 会L11"
育てる,そだてる,to raise; to bring up ,会L22
卒業式,そつぎょうしき,graduation ceremony,会L15
卒業する,そつぎょうする,to graduate (from . . . ) ,会L15
外,そと,outside,会L18
,その,that . . .,会L2
その後,そのご,after that,読L17-II
,そば,soba; Japanese buckwheat noodles,会L15
,ソファ,sofa,会L18
,そめる,to dye ,会L17(e)
空,そら,sky,読L16-II
,そる,to shave,会L17(e)
,それ,that one,会L2
,それから,and then,会L4
,それで,then; therefore,会L19
,それでは,well then,読L19-II
,それに,"moreover, . . .",会L12
,そろえる,to make hair even; to trim ,会L17(e)
,そろそろ,it is about time to . . .,会L23
,そんな～,such . . . ; that kind of . . .,"読L16-II, 会L23"
,そんなこと（は）ない,I don’t think so.,会L22
～代,～だい,charge; fee,会L12
～台,～だい,[counter for equipment],"会L14, 会L14(e)"
,ダイエットする,to go on a diet ,会L11
体温計,たいおんけい,thermometer,会L12(e)
大学,だいがく,college; university,会L1
大学院,だいがくいん,graduate school,会L16
大学院生,だいがくいんせい,graduate student,会L1
大学生,だいがくせい,college student,会L1
大嫌い,だいきらい（な）,to hate,会L5
大丈夫,だいじょうぶ,It’s okay.; Not to worry.; Everything is under control.,会L5
大好き,だいすき（な）,very fond of; to love,会L5
大切,たいせつ（な）,precious; important,会L18
大切にする,たいせつにする,to take good care of ,読L19-II
,たいてい,usually,会L3
大統領,だいとうりょう,president of a country,会L11
大ヒット,だいヒット,big hit,読L17-II
,タイプ,type,読L22-II
台風,たいふう,typhoon,会L16
,たいへん,greatly,読L19-II
大変,たいへん（な）,tough (situation),"読L5-II, 会L6"
大浴場,だいよくじょう,large spa,会L15(e)
,タオル,towel,会L18
高い,たかい,expensive; high,会L2
,だから,so; therefore,会L4
宝くじ,たからくじ,lottery,会L17
宝くじに当たる,たからくじにあたる,to win a lottery,会L17
抱く,だく,to hold something in one’s arm,読L20-II
,たくさん,many; a lot,会L4
,タクシー,taxi,読L13-III
竹,たけ,bamboo,読L15-II
,～だけ,just . . . ; only . . .,会L11
出す,だす,to take (something) out; to hand in (something),会L16
助かる,たすかる,to be saved; to be helped,会L18
助ける,たすける,to help; to rescue ,"読L16-II, 会L22"
,ただ,free of charge,会L23
,ただいま,I’m home.,会G
,ただの～,nothing more than . . .,読L21-II
,～たち,[makes a noun plural],会L14
,たつ,(time) pass,読L19-II
立つ,たつ,to stand up,会L6
縦,たて,vertical,読L23-II
建物,たてもの,building,会L15
例えば,たとえば,for example,"会L11(e), 読L16-II, 会L17"
楽しい,たのしい,fun,会L5
楽しそうに,たのしそうに,joyfully,読L22-II
楽しみ,たのしみ,pleasure,読L21-II
楽しみです,たのしみです,cannot wait; to look forward to it,会L15
楽しみにする,たのしみにする（〜を）,to look forward (to) ,読L7-II
楽しむ,たのしむ,to enjoy,読L15-II
頼む,たのむ,to ask (a favor),会L18
たばこを吸う,たばこをすう,to smoke,会L6
,ダブル,double room,会L15(e)
多分,たぶん,probably; maybe,会L12
食べ物,たべもの,food,会L5
食べる,たべる,to eat ,会L3
卵,たまご,egg,会L12
,だます,to deceive,読L20-II
,たまねぎ,onion,会L8(e)
,だめ（な）,no good,会L13
,～ために,for . . . ; for the sake of . . .,会L23
,ためる,to save money ,会L21
足りる,たりる,to be sufficient; to be enough ,会L17
,だれ,who,会L2
,～（ん）だろう,short form of ～（ん）でしょう,会L18
単語,たんご,word; vocabulary,会L9
,たんざく,strip of fancy paper,読L12-II
男子学生,だんしがくせい,male student,読L18-II
誕生日,たんじょうび,birthday,会L5
小さい,ちいさい,small,会L5
,チェックアウト（する）,checking out,会L15(e)
,チェックイン（する）,checking in,会L15(e)
,チェックする,to check ,会L23
地下,ちか,underground,読L15-II
近い,ちかい,close; near,会L13
違い,ちがい,difference,会L17
違う,ちがう,to be different; to be wrong,"読L16-II, 会L23"
近く,ちかく,near; nearby,会L4
地下鉄,ちかてつ,subway,会L10
力仕事,ちからしごと,physical labor (such as construction),読L18-III
,ちかん,groper; pervert,会L21
,チケット,ticket,会L9
遅刻する,ちこくする,to be late (for an appointment) ,会L11
地図,ちず,map,会L15
父,ちち,(my) father,会L7
父親,ちちおや,father,読L14-II
,チップ,tip,読L13-III
茶,ちゃ,green tea,会L3
茶色い,ちゃいろい,brown,会L9(e)
茶店,ちゃみせ,teahouse,読L20-II
,～ちゃん,suffix for names of children,会L22
～中,～ちゅう,while . . .,読L19-II
注意する,ちゅういする,to give warning; to watch out ,会L14
中学生,ちゅうがくせい,junior high school student,会L19
中国,ちゅうごく,China,"会L1, 会L2"
注射,ちゅうしゃ,injection,会L12(e)
注文する,ちゅうもんする,to place an order ,会L18
調査,ちょうさ,survey,会L23
朝食付き,ちょうしょくつき,with breakfast,会L15(e)
,ちょうど,exactly,会L14
貯金する,ちょきんする,to deposit money (in a bank) ,読L18-II
,チョコレート,chocolate,会L14
,ちょっと,a little,会L3
,ツアー,tour,会L10
一日,ついたち,the first day of a month,会L4(e)
,ツイン,twin room,会L15(e)
通帳,つうちょう,passbook,会L13(e)
通帳記入,つうちょうきにゅう,passbook update,会L13(e)
使う,つかう,to use,会L6
捕まる,つかまる,to be arrested; to be caught,会L21
疲れている,つかれている,to be tired,読L8-II
疲れる,つかれる,to get tired ,会L11
月,つき,moon,会L20
次,つぎ,next,会L6
付き合う,つきあう,to date (someone); to keep company,"読L14-II, 会L15"
次に,つぎに,secondly,読L8-II
次は～,つぎは～,"next (stop), . . .",会L10(e)
着く,つく,to arrive,"読L13-III, 会L15"
,つく,(something) turns on,会L18
机,つくえ,desk,"会L2(e), 会L4"
作る,つくる,to make,会L8
,つける,to turn on ,会L6
都合が悪い,つごうがわるい,inconvenient; to have a scheduling conflict,会L17
伝える,つたえる,to convey message ,会L20
続く,つづく,to continue,読L16-II
続ける,つづける,to continue ,会L20
包む,つつむ,to wrap; to cover,会L21
,つまらない,boring,会L5
冷たい,つめたい,cold (things/people),会L10
強い,つよい,strong,会L17
,つり,fishing,会L11
連れていく,つれていく,to take (someone) to (a place),会L16
連れて帰る,つれてかえる,to bring (a person) back,読L12-II
連れてくる,つれてくる,to bring (a person) ,会L6
手,て,hand; arm,会L7(e)
,～で,by (means of transportation); with (a tool),会L10
Ｔシャツ,ティーシャツ,T-shirt,会L2
定期券,ていきけん,commuter’s pass,会L10(e)
ていねいな言い方,ていねいないいかた,polite expression,会L11(e)
,～ていらっしゃる,honorific expression for ～ている,会L19
,デート,"date (romantic, not calendar)",会L3
,～ておる,extra-modest expression for ～ている,会L20
出かける,でかける,to go out ,会L5
手紙,てがみ,letter,会L9
,できる,to come into existence; to be made ,会L14
,できるだけ,as much as possible,会L12
,できれば,if possible,会L20
出口,でぐち,exit,会L10(e)
,～でござる,extra-modest expression for です,会L20
,デザート,desert,読L13-III
,～です,I am . . . .,会G
手数料,てすうりょう,commission,会L13(e)
,テスト,test,会L5
手伝う,てつだう,to help,会L6
徹夜する,てつやする,to stay up all night ,会L22
,テニス,tennis,会L3
,では,well then (polite),会L20
では、お元気で,では、おげんきで,Take care.,読L5-II
,デパート,department store,会L7
手袋,てぶくろ,gloves,会L10
,でも,but,会L3
寺,てら,temple,会L4
出る,でる,to appear; to attend; to exit ,"読L6-I, 会L9"
,テレビ,TV,会L3
天,てん,the heavens; the sky,読L12-II
～点,～てん,. . . points,会L11
天気,てんき,weather,会L5
電気,でんき,electricity; light,"会L2(e), 会L6"
電気工学,でんきこうがく,electrical engineering,読L19-III
天気予報,てんきよほう,weather forecast,会L8
電車,でんしゃ,train,会L6
天井,てんじょう,ceiling,読L17-II
電子レンジ,でんしレンジ,microwave oven,会L17
電池,でんち,battery,会L15
点滴,てんてき,intravenous feeding,会L12(e)
天ぷら,てんぷら,tempura,会L10
展覧会,てんらんかい,art exhibition,読L17-II
電話,でんわ,telephone,会L1
電話する,でんわする,to call ,会L6
戸,と,door,読L10-II
,～と,together with (a person); and,会L4
～度,～ど,. . . degrees (temperature),会L8
,ドア,door,"会L2(e), 読L13-III"
（～は）…という意味だ,（～は）…といういみだ,～ means that . . .,読L23-II
,ドイツ,Germany,会L20
,トイレ,toilet; restroom,会L2
,どう,how,会L8
道具,どうぐ,tool,読L16-II
,どうしたらいい,what should one do,会L14
,どうして,why,会L4
,どうしよう,What should I/we do?,会L18
同情する,どうじょうする,to sympathize ,会L23
,どうぞ,Please.; Here it is.,会L2
どうぞよろしくお願いします,どうぞよろしくおねがいします,Thank you in advance.,読L19-III
,どうですか,How about . . . ?; How is . . . ?,会L3
動物,どうぶつ,animal,会L20
動物園,どうぶつえん,zoo,会L10
,どうも,Thank you.,会L2
,どうやって,how; by what means,会L10
同僚,どうりょう,colleague,会L21
十,とお,ten,会L9
遠い,とおい,far (away),会L21
十日,とおか,ten days,会L13
十日,とおか,the tenth day of a month,会L4(e)
通る,とおる,to go through; to pass,読L15-II
,～とか,. . . for example,会L22
時,とき,when . . . ; at the time of . . .,会L4
時々,ときどき,sometimes,会L3
特に,とくに,especially,会L13
時計,とけい,watch; clock,会L2
,どこ,where,会L2
,どこでも,anywhere,読L16-II
所,ところ,place,会L8
,ところが,however; on the contrary,読L21-II
,ところで,by the way,会L9
年,とし,year,読L10-II
年上,としうえ,someone older,会L10
図書館,としょかん,library,会L2
,どちら,where (polite),会L19
,どちら,which,会L10
特急,とっきゅう,super express,会L10(e)
突然,とつぜん,suddenly,読L19-III
,どっち,which,会L10
,とても,very,会L5
隣,となり,next,会L4
,とにかく,anyhow; anyway,会L21
,どの,which . . .,会L2
,どのぐらい,how much; how long,会L10
飛ぶ,とぶ,to fly,読L16-II
,トマト,tomato,会L8
泊まる,とまる,"to stay (at a hotel, etc.)",会L10
止まる,とまる,to stop,読L20-II
～と申します,～ともうします,my name is . . .,会L13
友だち,ともだち,friend,会L1
土曜日,どようび,Saturday,"会L3, 会L4(e)"
,ドライブ,drive,会L11
鳥,とり,bird; poultry,読L13-II
鶏肉,とりにく,chicken,会L8(e)
取る,とる,to take (a class); to get (a grade),"読L7-II, 会L11"
撮る,とる,to take (a picture),会L4
,とる,to take off,読L10-II
,どれ,which one,会L2
,トレーナー,sweatshirt,会L14
トロッコ列車,トロッコれっしゃ,small train usually for tourists,読L15-II
泥棒,どろぼう,thief; burglar,会L21
,とんかつ,pork cutlet,会L2
,どんな,what kind of . . .,会L5
内科,ないか,physician,会L12(e)
直す,なおす,to correct; to fix,会L16
中,なか,inside,会L4
長い,ながい,long,会L7
長い間,ながいあいだ,long time,読L21-II
仲がいい,なかがいい,be on good/close terms; to get along well,会L19
泣く,なく,to cry,"読L12-II, 会L13"
,なくす,to lose,会L12
,なくなる,to be lost; to disappear,会L23
殴る,なぐる,to strike; to hit; to punch,会L21
,なさる,honorific expression for する,会L19
,なす,eggplant,会L8(e)
,なぜ,why,会L19
夏,なつ,summer,会L8
,なつかしい,to miss; to long for,読L19-II
,〜など,and so forth,読L12-II
七つ,ななつ,seven,会L9
七分,ななふん,seven minutes,会L1(e)
何,なに/なん,what,会L1
何か,なにか,something,会L8
何も,なにも ＋ negative,not . . . anything,会L7
七日,なのか,seven days,会L13
七日,なのか,the seventh day of a month,会L4(e)
,なべ,pot,読L13-II
名前,なまえ,name,会L1
名前をつける,なまえをつける,to name ,読L17-II
怠け者,なまけもの,lazy person,会L19
悩み,なやみ,worry,"読L14-II, 会L19"
習う,ならう,to learn,会L11
,なる,to become,会L10
慣れる,なれる,to get used to . . . ,会L17
何,なん/なに,what,会L1
,なんだか,somehow,読L22-II
,なんでも,anything; everything,読L13-II
何度も,なんども,many times,"読L17-II, 会L22"
似合う,にあう,to look good (on somebody),会L14
二か月前,にかげつまえ,two months ago,会L4(e)
二月,にがつ,February,会L4(e)
,にぎやか（な）,lively,会L5
肉,にく,meat,会L2
～に比べて,～にくらべて,compared with . . .,会L17
逃げる,にげる,to run away; to escape ,読L22-II
,にこにこする,to smile ,読L20-II
二三日,にさんにち,for two to three days,会L12
西,にし,west,会L6(e)
二時,にじ,two o’clock,会L1(e)
二十分,にじっぷん,twenty minutes,会L1(e)
二時半,にじはん,half past two,会L1
二週間前,にしゅうかんまえ,two weeks ago,会L4(e)
二十四日,にじゅうよっか,the twenty-fourth day of a month,会L4(e)
二十分,にじゅっぷん,twenty minutes,会L1(e)
日曜日,にちようび,Sunday,"会L3, 会L4(e)"
,～について,about . . . ; concerning . . .,会L8
日記,にっき,diary,"読L9-II, 会L18"
二分,にふん,two minutes,会L1(e)
日本,にほん,Japan,会L1
日本語,にほんご,Japanese language,会L1
日本人,にほんじん,Japanese people,会L1
荷物,にもつ,baggage,会L6
,ニヤニヤする,to grin ,読L13-II
入院する,にゅういんする,to be hospitalized ,読L21-II
,ニュース,news,会L17
,～によると,according to . . .,会L17
庭,にわ,garden,会L15
～人,～にん,[counter for people],会L7
人気がある,にんきがある,to be popular,会L9
,にんじん,carrot,会L8(e)
,ぬいぐるみ,"stuffed animal (e.g., teddy bear)",会L14
脱ぐ,ぬぐ,to take off (clothes),会L17
盗む,ぬすむ,to steal; to rob,会L21
願い,ねがい,wish,読L12-II
,ネクタイ,necktie,会L14
猫,ねこ,cat,会L4
値段,ねだん,price,読L20-II
熱がある,ねつがある,to have a fever,会L12
眠い,ねむい,sleepy,会L10
寝る,ねる,to sleep; to go to sleep ,会L3
～年,～ねん,. . . years,会L10
～年間,～ねんかん,for . . . years,読L14-II
～年生,～ねんせい,. . . year student,会L1
,ノート,notebook,会L2
残す,のこす,to leave; to preserve,読L15-II
～の紹介で,～のしょうかいで,through the introduction of,読L19-III
,～のために,for . . .,読L19-III
,～のための,for the sake of . . .,読L17-II
喉,のど,throat,会L12
喉が渇く,のどがかわく,to become thirsty,会L12
登る,のぼる,to climb,会L11
飲み物,のみもの,drink,会L5
飲む,のむ,to drink,会L3
,～のようなもの,something like . . .,読L16-II
乗り遅れる,のりおくれる,"to miss (a train, bus, etc.) ",会L16
乗り換え,のりかえ,transfer,会L10(e)
乗る,のる,to ride; to board,会L5
歯,は,tooth,"会L7(e), 会L12"
～は…という意味だ,～は…といういみだ,～ means that . . .,読L23-II
場合,ばあい,case,読L14-II
,パーティー,party,会L8
,パートナー,partner,会L14
,バーベキュー,barbecue,会L8
,パーマ,perm,会L17(e)
,パーマをかける,to have one’s hair permed ,会L17(e)
,はい,yes,会L1
灰色,はいいろ,gray,会L9(e)
俳句,はいく,haiku,読L17-II
,バイク,motorcycle,会L13
売店,ばいてん,shop; stand,会L10(e)
俳優,はいゆう,actor; actress,会L11
入る,はいる,to enter,会L6
,ばかにする,to insult; to make a fool of . . . ,会L21
,はく,to put on (items below your waist),会L7
吐く,はく,to throw up,会L12(e)
～泊,～はく,. . . nights,会L15(e)
運ぶ,はこぶ,to carry,会L22
,はし,chopsticks,会L8
,はしご,ladders,読L17-II
始まる,はじまる,(something) begins,会L9
初めて,はじめて,for the first time,会L12
初めは,はじめは,at first,読L18-III
,はじめまして,How do you do ?,会G
始める,はじめる,to begin ,会L8
場所,ばしょ,place,"読L15-II, 会L23"
走る,はしる,to run,会L11
,バス,bus,会L5
恥ずかしい,はずかしい,embarrassing; to feel embarrassed,会L18
恥ずかしがり屋,はずかしがりや,shy person,会L19
バス停,バスてい,bus stop,会L4
,パソコン,personal computer,会L6
畑,はたけ,farm,読L12-II
働く,はたらく,to work,会L7
はたを織る,はたをおる,to weave,読L12-II
八月,はちがつ,August,会L4(e)
八時,はちじ,eight o’clock,会L1(e)
八分,はちふん,eight minutes,会L1(e)
,ばつ,× (wrong),会L11(e)
発音,はつおん,pronunciation,会L11(e)
二十日,はつか,the twentieth day of a month,会L4(e)
発疹,はっしん,rash,会L12(e)
発表する,はっぴょうする,to make a presentation; to make public ,会L15
八分,はっぷん,eight minutes,会L1(e)
花,はな,flower,会L4
鼻,はな,nose,会L7(e)
話,はなし,story; talk,"読L8-II, 会L19"
話をする,はなしをする,to have a talk ,"読L9-II, 会L19"
話す,はなす,to speak; to talk,会L3
,バナナ,banana,会L18
鼻水,はなみず,runny nose,会L12(e)
離れる,はなれる,(something/someone) separates; parts from ,会L23
母,はは,(my) mother,会L7
早い,はやい,early,会L3
速い,はやい,fast,会L7
早く/速く,はやく,(do something) early; fast,会L10
払う,はらう,to pay,会L12
,ハラルフード,halal,会L8(e)
春,はる,spring,会L10
貼る,はる,to post; to stick,会L21
晴れ,はれ,sunny weather,会L8
晴れる,はれる,to become sunny ,会L19
,バレンタインデー,Valentine’s Day,会L14
半,はん,half,会L1
,パン,bread,会L4
～番,～ばん,number . . .,"会L1, 会L11(e)"
番組,ばんぐみ,broadcast program,読L16-II
番号,ばんごう,number,会L1
晩ご飯,ばんごはん,dinner,会L3
～番線,～ばんせん,track number . . .,会L10(e)
,パンダ,panda,会L17
反対する,はんたいする,to oppose; to object to ,会L22
,バンド,band,読L11-II
犯人,はんにん,criminal,会L21
,ハンバーガー,hamburger,会L3
日,ひ,day,"読L15-II, 会L16"
,ピアノ,piano,会L9
,ヒーター,heater,会L17
,ピーナッツ,peanut,会L8(e)
,ビール,beer,会L11
東,ひがし,east,会L6(e)
～匹,～ひき,[counter for smaller animals],"会L14, 会L14(e)"
引き出し,ひきだし,withdrawal,会L13(e)
弾く,ひく,to play (a string instrument or piano),会L9
,ひげ,beard,会L17
,ひげをそる,to shave one’s beard,会L17
飛行機,ひこうき,airplane,会L10
,ピザ,pizza,"読L6-III, 会L9"
久しぶり,ひさしぶり,it has been a long time,会L11
,ビジネス,business,"会L1, 会L2"
美術館,びじゅつかん,art museum,会L11
左,ひだり,left,会L4
左側,ひだりがわ,left side,会L6(e)
,ひっかく,to scratch,読L20-II
,びっくりする,to be surprised ,"読L10-II, 会L21"
引っ越し,ひっこし,moving,読L18-III
引っ越す,ひっこす,to move (to another place to live),会L19
人,ひと,person,会L4
,ひどい,awful,会L21
一つ,ひとつ,one,会L9
一つ目,ひとつめ,first,会L6(e)
人々,ひとびと,people,読L12-II
一人,ひとり,one person,会L7
一人暮らし,ひとりぐらし,living alone,会L22
一人で,ひとりで,alone,会L4
皮膚科,ひふか,dermatologist,会L12(e)
暇,ひま（な）,not busy; free (time),会L5
秘密,ひみつ,secret,"読L16-II, 会L17"
美容院,びよういん,beauty parlor,会L10
病院,びょういん,hospital,会L4
