,いれる,"to make tea, coffee, etc. ",会L17
入れる,いれる,to put (something) in ,会L16
色,いろ,color,会L9
,いろいろ（な）,various; different kinds of,"読L9-II, 会L13"
,インターネット,internet,会L15
,インド,India,会L1
,インフルエンザ,influenza,会L12
,ううん,uh-uh; no,会L8
上,うえ,on,会L4
伺う,うかがう,to humbly visit; to humbly ask,会L20
受付,うけつけ,reception desk,会L22
受ける,うける,to take (an examination) ,"読L19-III, 会L22"
牛,うし,cow,読L12-II
後ろ,うしろ,back,会L4
,うそをつく,to tell a lie,会L11
歌,うた,song,会L7
歌う,うたう,to sing,会L7
,うち,home; house; my place,会L3
宇宙人,うちゅうじん,space alien,会L20
宇宙飛行士,うちゅうひこうし,astronaut,会L11
写す,うつす,to copy,読L16-II
,うまく,well; successfully; skillfully,読L22-II
,うまくいく,to go well,読L22-II
生まれる,うまれる,to be born ,"読L15-II, 会L17"
海,うみ,sea,会L5
占い,うらない,fortune-telling,読L21-II
,うらやましい,envious,会L17
,うらやましがる,(somebody is) envious,読L22-II
売る,うる,to sell,"読L10-II, 会L15"
,うるさい,noisy; annoying,会L22
,うれしい,glad,会L13
売れる,うれる,to be sold ,読L20-II
,うん,uh-huh; yes,会L8
運転する,うんてんする,to drive ,会L8
運動する,うんどうする,to exercise ,会L9
絵,え,painting; picture; drawing,会L15
,エアコン,air conditioner,会L6
映画,えいが,movie,会L3
英会話,えいかいわ,English conversation,会L22
映画館,えいがかん,movie theater,会L15
影響を受ける,えいきょうをうける,to be affected ,読L17-II
英語,えいご,English language,会L2
,ええ,yes,会L3
,ええと,well . . . ; let me see . . .,会L16
駅,えき,station,"読L6-I, 会L10"
駅員（さん）,えきいん（さん）,station attendant,会L16
,えさ,feed,読L20-II
,エジプト,Egypt,会L1
SNS,エスエヌエス,social media,読L23-II
江戸,えど,former name of Tokyo,読L20-II
江戸時代,えどじだい,Edo period (1603－1868),読L20-II
絵文字,えもじ,emoji,読L23-II
選ぶ,えらぶ,to choose; to select,会L17
Ｌサイズ,エルサイズ,size L,会L5
～円,～えん,. . . yen,会L2
鉛筆,えんぴつ,pencil,会L14
遠慮する,えんりょする,to hold back for the time being; to refrain from ,会L19
お預け入れ,おあずけいれ,deposit,会L13(e)
,おいしい,delicious,会L2
お祈りする,おいのりする,to pray ,会L17
往復,おうふく,round trip,会L10(e)
多い,おおい,there are many . . .,会L12
大きい,おおきい,large,会L5
大きさ,おおきさ,size,会L16
多くの～,おおくの～,many . . .,"読L21-II, 会L22"
,オーストラリア,Australia,"会L1, 会L11"
大家さん,おおやさん,landlord; landlady,会L14
お母さん,おかあさん,mother,"会L1, 会L2"
お返し,おかえし,return (as a token of gratitude),会L14
,おかえり（なさい）,Welcome home.,会G
,おかげで,thanks to . . .,会L18
お菓子,おかし,snack; sweets,会L11
お金,おかね,money,会L6
お金持ち,おかねもち,rich person,会L10
お客さん,おきゃくさん,guest; visitor; client; customer,会L17
起きる,おきる,to get up ,会L3
置く,おく,to put; to lay; to place,会L21
奥様,おくさま,(your/someone’s) wife (polite),会L19
奥さん,おくさん,(your/someone’s) wife,会L14
送る,おくる,to send,会L14
送る,おくる,to walk/drive (someone),会L19
遅れる,おくれる,to become late ,"読L13-III, 会L19"
お子さん,おこさん,(your/someone’s) child (polite),会L19
起こす,おこす,to wake (someone) up,会L16
起こる,おこる,to occur; to happen,読L21-II
怒る,おこる,to get angry,読L12-II
,おごる,to treat (someone) to a meal,会L16
お先に失礼します,おさきにしつれいします,"See you. (lit., I’m leaving ahead of you.)",会L18
お酒,おさけ,sake; alcoholic drink,会L3
お皿,おさら,plate; dish,会L14
,おじいさん,grandfather; old man,会L7
教える,おしえる,to teach; to instruct ,会L6
,おじさん,uncle; middle-aged man,会L14
,おじぞうさん,guardian deity of children,読L10-II
,おしゃれ（な）,fashionable; stylish,会L14
お正月,おしょうがつ,New Year’s,"読L10-II, 会L11"
お嬢さん,おじょうさん,(someone’s) daughter (polite),会L22
お尻,おしり,buttocks,会L7(e)
お城,おしろ,castle,読L5-II
押す,おす,to press; to push,会L18
お世話になる,おせわになる,to be in someone’s care,"読L19-II, 会L23"
遅い,おそい,slow; late,会L10
遅く,おそく,(do something) late,"読L4-III, 会L8"
遅くなる,おそくなる,to be late,会L8
お大事に,おだいじに,Get well soon.,会L12
お宅,おたく,(someone’s) home/house,会L20
落ち込む,おちこむ,to get depressed,会L16
お茶,おちゃ,green tea,会L3
落ちる,おちる,(something) drops ,会L18
お疲れ様（でした）,おつかれさま（でした）,You must be tired after working so hard. (greeting between friends and coworkers),会L18
